RUN No.,Avg ROT ( °C),Catalyst,STM.(% of feed),Feed,Mass balance (%),Cat/Oil,Conversion (%),H2,C1,C2,C2=,C3,C3=,iC4,nC4,t2C4=,1C4=,iC4=,c2C4=,"1,3-BD",C4=(Liq.),Total Gas,Gasoline,LCO,HCO,Coke,H2-C2 (dry gas),C3-C4 (LPG),C2=-C4= (Light olefins),C3=+C4=,C4= (Butenes),C2=/C2,C3=/C3,C4=/C4,iC4=/C4=,iC4=/iC4,"Res Time based on exit cond, (second)"
2312-PP-09,645.3,CAT-1,25.92592593,Light Naphtha,97.95105532,31.97139918,98.26330497,0.241775971,5.275681814,4.464836761,8.092294528,1.17966866,13.00060311,0.228000057,0.988055498,1.713733666,1.565293487,3.044450493,1.412109168,0.166027429,,41.37253064,56.62237787,1.350762802,0.385932229,0.268396458,18.07458907,23.29794157,28.99451188,20.90221735,7.901614242,1.941910988,11.54534312,6.738398244,0.385294751,13.35284967,2.556910577
2312-PP-10,660.2,CAT-1,25.87268994,Light Naphtha,97.79093182,31.01437372,98.53414811,0.319702878,6.792231869,5.012624991,10.62332036,1.200224767,15.01143415,0.238307448,0.802742302,1.781427075,1.522000528,2.957698623,1.464797513,0.176870464,,47.90338297,50.34012436,1.240336218,0.225515676,0.290640786,22.7478801,25.15550287,33.53754871,22.91422835,7.902794202,2.270692297,13.10276607,7.87233298,0.374259856,12.41127226,2.3172104
2312-PP-11,660.8,CAT-1,15.625,Light Naphtha,101.1273756,32.61041667,98.84669994,0.329312926,7.565157692,5.722248898,11.20194748,1.441372621,15.87656546,0.2951923,0.82042583,1.936359462,1.638481568,3.171682667,1.594311737,0.160887779,,51.75394642,46.75387891,1.021494339,0.131805721,0.33887461,24.81866699,26.93527943,35.58023616,24.37828868,8.501723214,2.097442247,11.53941191,7.902885058,0.373063506,10.74446274,2.657082393
2312-PP-12,669.9,CAT-1,15.12096774,Light Naphtha,99.16514931,32.01995968,97.45000164,0.469603809,11.89630818,8.167006485,14.81727852,1.946965226,19.00246433,0.305472559,0.631616394,1.896468437,1.738491637,3.484257998,1.585894548,0.401941294,,66.34376942,30.65258936,2.226491102,0.323507254,0.453642868,35.350197,30.99357242,42.92679676,28.10951824,9.107053914,1.943876938,10.22480695,10.07839456,0.382588928,11.40612435,2.305094361
2312-PP-13,646.4,CAT-2,15.21298174,Light Naphtha,97.83313634,25.07849899,99.56941214,0.311136652,5.980616536,5.569226172,9.421129085,2.933276999,13.72373854,0.458188189,1.158575451,1.817013568,1.297194136,3.062043386,1.444483055,0.036823047,,47.21344481,52.00590517,0.391443508,0.039144351,0.350062156,21.28210844,25.93133637,30.80242481,21.38129573,7.657557192,1.812472068,4.901429323,4.911769551,0.399872088,6.682938271,2.781915604
2312-PP-14,645,CAT-2,14,Light Naphtha,97.42181322,29.7832,99.48385276,0.287306464,5.543159973,5.510029074,8.969578401,3.003381901,13.59597136,0.473061785,1.21596962,1.795323038,1.239429384,2.969384821,1.4199806,0.03859246,,46.06116888,52.69129737,0.436739972,0.079407268,0.731386517,20.31007391,25.75109497,30.02826006,21.05868166,7.462710303,1.744140084,4.742453353,4.581979328,0.3978963,6.276949254,2.879855134
2312-PP-15,660.3,CAT-2,24.9500998,Light Naphtha,98.46951058,31.73253493,99.35663034,0.349561516,6.815285123,5.708488614,10.87265763,2.325668216,15.40525379,0.326711233,1.025998659,1.939772795,1.407931279,3.206662166,1.556313823,0.076030612,,51.01633545,47.59072352,0.541784976,0.101584683,0.74957137,23.74599288,27.27034257,34.46462209,23.59196446,8.186710675,2.040693574,6.939440971,6.276232787,0.391691156,9.814973706,2.270752277
2312-PP-16,659.8,CAT-2,14.31411531,Light Naphtha,98.95315195,32.27833002,99.29068589,0.357539162,7.422581702,6.44586689,11.13328667,2.789296481,15.73795713,0.401289492,1.049347324,1.977237905,1.480380693,3.305648614,1.598317208,0.067165915,,53.76591519,44.75494802,0.647634621,0.061679488,0.769822683,25.35927443,28.40664076,35.29999414,24.16670747,8.428750335,1.850568998,5.910947,6.025578682,0.392187274,8.237565853,2.596356217
2312-PP-17,670.6,CAT-2,15.40041068,Light Naphtha,94.37817499,31.67351129,98.77250142,0.445717845,9.366108557,7.362492964,13.46912102,2.918828434,17.6214438,0.381510804,0.970738066,2.115843754,1.531721144,3.40111845,1.70799802,0.07556029,,61.36820315,36.51656187,1.088536478,0.138962104,0.887736399,30.64344038,30.72476276,39.92280648,26.45368546,8.832241658,1.960097098,6.324647231,6.773429007,0.385079868,8.914867981,2.451319962
2312-PP-18,670.4,CAT-2,14.51612903,Light Naphtha,98.83113005,33.02318548,98.78118713,0.436077501,9.427228363,7.409490523,13.34987414,2.815526425,17.53943376,0.345734031,0.90068623,2.016315918,1.543628358,3.303774617,1.642921943,0.107616221,,60.83830803,36.83487563,1.07542312,0.143389749,1.108003467,30.62267053,30.2156375,39.50356496,26.15369081,8.614257058,1.930421064,6.52618449,7.167168169,0.383524034,9.555827093,2.454244264
