RUN No.,2312-PP-01,2312-PP-02R,2312-PP-03,2312-PP-04,2312-PP-07,2312-PP-05,2312-PP-08,2312-PP-09,2312-PP-10,2312-PP-11,2312-PP-12,2312-PP-13,2312-PP-14,2312-PP-15,2312-PP-16,2312-PP-17,2312-PP-18,2312-PP-23,2312-PP-24,2312-PP-25,2312-PP-26,2312-PP-27,2312-PP-28,2312-PP-29,2312-PP-30,2312-PP-31,2312-PP-32,2312-PP-33
Avg ROT ( °C),651.6,649.4,650.7,650.6,645.7,645.1,669.4,645.3,660.2,660.8,669.9,646.4,645,660.3,659.8,670.6,670.4,669.7,670.2,645.1,644.5,669.6,670.1,670.5,670.8,670.4,670.5,670.3
System P (kg/cm2g),0.5,0.5,0.5,0.5,1.7,1.7,1.71,1.7,1.7,1.7,1.71,1.69,1.72,1.72,1.72,1.72,1.72,0.5,0.5,1.69,1.72,1.71,1.72,0.51,0.51,1.7,1.7,1.7
Catalyst,CAT-A,CAT-A,CAT-A,CAT-A,CAT-A,CAT-A,CAT-A,CAT-A,CAT-A,CAT-A,CAT-A,CAT-B,CAT-B,CAT-B,CAT-B,CAT-B,CAT-B,CAT-B,CAT-B,CAT-B,CAT-B,CAT-B,CAT-B,CAT-B,CAT-B,CAT-B,CAT-B,CAT-B
STM.(% of feed),15,14.9,15.3,15.2,15.2,14.9,15,25.9,25.9,15.6,15.1,15.2,14,25,14.3,15.4,14.5,15.4,15.7,15.8,15.2,25,14.5,15.4,15.3,25.9,14.7,15
Feed,Gas Condensate,Gas Condensate,Gas Condensate,Gas Condensate,Gas Condensate,Gas Condensate,Gas Condensate,Naphtha,Naphtha,Naphtha,Naphtha,Naphtha,Naphtha,Naphtha,Naphtha,Naphtha,Naphtha,Naphtha,Naphtha,Gas Condensate,Gas Condensate,Gas Condensate,Gas Condensate,Gas Condensate,Gas Condensate,Naphtha,Naphtha,Naphtha
Feed rate (g/h),500,502,745,750,494,503,501,486,487,480,496,493,500,501,503,487,496,487,478,475,493,505,517,486,489,487,407,400
Mass balance (%),95.3,97.8,97.2,98.3,99.3,96.4,96.5,98,97.8,101.1,99.2,97.8,97.4,98.5,99,94.4,98.8,92.3,97,98.6,98.7,100.3,98.7,95.7,96.4,97.4,93.6,97.3
Cat/Oil,25.8,32.2,25.4,29.4,25.4,33.6,29.9,32,31,32.6,32,25.1,29.8,31.7,32.3,31.7,33,30,31.1,29.6,25.1,30.6,31,29.6,29.9,32.1,30.8,32.8
Conversion (%),92.7,93.3,92.6,92.6,92.6,92.5,90.8,98.3,98.5,98.8,97.5,99.6,99.5,99.4,99.3,98.8,98.8,99.6,99.6,92,91.7,91.9,91.4,91.6,91.7,99,98.7,98.6
Yields (mass%),,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2,0.31,0.28,0.24,0.22,0.33,0.29,0.41,0.24,0.32,0.33,0.47,0.31,0.29,0.35,0.36,0.45,0.44,0.36,0.37,0.33,0.33,0.41,0.41,0.41,0.4,0.41,0.48,0.46
C1,6.44,5.53,4.88,4.56,8.15,6.82,10.38,5.28,6.79,7.57,11.9,5.98,5.54,6.82,7.42,9.37,9.43,6.14,6.34,6.32,7.08,8.68,9.26,7.7,7.6,8.04,10.72,10.52
C2,3.8,3.36,3.14,3.03,5.19,4.56,6.14,4.46,5.01,5.72,8.17,5.57,5.51,5.71,6.45,7.36,7.41,4.25,4.32,4.49,4.95,5.21,5.8,4.13,4.13,5.79,7.53,7.41
C2=,10.79,10.15,8.83,8.45,11.17,10.64,12.95,8.09,10.62,11.2,14.82,9.42,8.97,10.87,11.13,13.47,13.35,11.21,11.54,11.15,11.29,13.61,13.4,14.25,14.07,13.2,15.39,14.78
C3,1.08,1.05,1.02,1.05,1.8,2.02,1.84,1.18,1.2,1.44,1.95,2.93,3,2.33,2.79,2.92,2.82,1.24,1.18,2.21,2.2,1.81,2.09,1.13,1.13,1.71,2.06,1.97
C3=,16.8,17.06,15.56,15.57,16.97,17.67,17.09,13,15.01,15.88,19,13.72,13.6,15.41,15.74,17.62,17.54,15.55,15.79,16.64,16.61,17.6,17.25,19.16,19.21,17.43,18.99,18.51
iC4,0.45,0.52,0.5,0.52,0.57,0.88,0.44,0.23,0.24,0.3,0.31,0.46,0.47,0.33,0.4,0.38,0.35,0.14,0.12,0.44,0.37,0.27,0.3,0.23,0.24,0.17,0.19,0.18
nC4,1.22,1.3,1.38,1.34,0.89,1.23,0.74,0.99,0.8,0.82,0.63,1.16,1.22,1.03,1.05,0.97,0.9,0.64,0.6,1.37,1.17,0.87,0.91,1,1.04,0.69,0.64,0.62
t2C4=,2.07,2.17,2.12,2.09,1.97,2.09,1.8,1.71,1.78,1.94,1.9,1.82,1.8,1.94,1.98,2.12,2.02,1.94,1.93,2.06,1.92,1.82,1.79,2,2.07,1.95,2.03,2.01
1C4=,1.87,1.91,1.82,1.86,1.75,1.78,1.6,1.57,1.52,1.64,1.74,1.3,1.24,1.41,1.48,1.53,1.54,1.5,1.5,1.62,1.62,1.51,1.5,1.66,1.69,1.53,1.63,1.63
